"OBJECTID *","Shape *","LINK_ID","ST_NAME","FUNC_CLASS","TO_SPD_LIM","FR_SPD_LIM","FROM_LANES","TO_LANES","LANE_CAT","DIR_TRAVEL","PHYS_LANES","AR_AUTO","AR_BUS","AR_PEDEST","AR_TRUCKS","AR_TRAFF","AR_EMERVEH","AR_MOTOR","ROUNDABOUT","Shape_Length","NOM_ETUDE","DATE_ETUDE","TYPE_VEH","LEN_KM_GEO","Note_NbVoie","NB_PASSAGE_TP","Note_ArretTP","TYPE_CARR","Note_Carrefour","NB_OBSTACLE","Note_Obstacle","Note_Vitesse","CONG_RSI_T","CONG_RSI_F","Note_Congestion","IMPACT_CHANTIER","DEBUT_CHANTIER","FIN_CHANTIER","DUREE_CHANTIER","Note_Chantier","LIM_HAUT","LIM_POIDS","LIM_ChESSIEU","LIM_LONG","LIM_LARG","Note_Gabarit","ACCES_PJOUR","Note_Horaire","Sum places_int","Note_Stationnement","PENTE_MAX","Note_Pente","CIR_MOY","CIR_MOY_pond","CIR_MOY_norm","RATIO_HIE","ACC_MOY","ACC_MOY_pond","ACC_MOY_norm","POI_COUNT"
"6850","Polyline","79002527","BOULEVARD LAZARE CARNOT","3","50","0","0","2","2","T","3","Y","Y","Y","Y","Y","Y","Y","N","0.00035","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.038374","3","0","3","Prioritaire","3","0","3","3","0.714","0","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","1.579654","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","1"
"9820","Polyline","590839820","BOULEVARD LAZARE CARNOT","5","50","0","0","0","1","T","0","Y","Y","Y","Y","Y","Y","Y","N","0.000502","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.044741","1","0","3","Prioritaire","3","0","3","3","0.92","0","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.18675","3","2.714286","2.714286","0.857143","300","2.5","2.5","0.75","1"
"9821","Polyline","590839821","BOULEVARD LAZARE CARNOT","5","50","0","0","0","1","T","0","Y","Y","Y","Y","Y","Y","Y","N","0.000173","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.018568","1","0","3","Prioritaire","3","0","3","3","0.5408","0","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.205949","3","2.571429","2.571429","0.785714","300","2.5","2.5","0.75","1"
"13831","Polyline","842432303","BOULEVARD LAZARE CARNOT","5","0","30","0","0","1","F","1","Y","Y","Y","Y","Y","Y","Y","N","0.000541","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.057783","1","0","3","Prioritaire","3","0","3","3","0","0.7152","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.331614","3","2.571429","2.571429","0.785714","300","2.5","2.5","0.75","1"
"13832","Polyline","842432304","BOULEVARD LAZARE CARNOT","5","0","30","0","0","1","F","1","Y","Y","Y","Y","Y","Y","Y","N","0.00013","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.014444","1","0","3","Prioritaire","3","0","3","3","0","0.6736","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.870941","3","2.571429","2.571429","0.785714","300","2.5","2.5","0.75","1"
"14599","Polyline","850857343","BOULEVARD LAZARE CARNOT","3","50","50","1","2","2","B","5","Y","Y","Y","Y","Y","Y","Y","N","0.000241","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.026714","3","0","3","Prioritaire","3","0","3","3","0.73","0.942","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.277508","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","1"
"14600","Polyline","850857344","BOULEVARD LAZARE CARNOT","3","50","50","1","1","1","B","4","Y","Y","Y","Y","Y","Y","Y","N","0.000231","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.025605","3","0","3","Prioritaire","3","0","3","3","0.87","0.826","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.513131","3","3","3","1","1000","2.5","2.5","0.75","1"
"14736","Polyline","852964491","BOULEVARD LAZARE CARNOT","3","0","50","1","0","1","F","2","Y","Y","Y","Y","Y","Y","Y","N","0.000117","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.012641","2","0","3","Prioritaire","3","0","3","3","0","0.812","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.905851","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","1"
"14737","Polyline","852964492","BOULEVARD LAZARE CARNOT","3","0","50","1","0","1","F","2","Y","Y","Y","Y","Y","Y","Y","N","0.000329","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.035571","2","0","3","Prioritaire","3","0","3","3","0","0.824","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.745269","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","1"
"30433","Polyline","1220412485","BOULEVARD LAZARE CARNOT","3","50","50","2","2","2","B","6","Y","Y","Y","Y","Y","Y","Y","N","0.000163","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.015596","3","0","3","Prioritaire","3","0","3","3","0.914","0.874","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.43459","3","3","3","1","1000","2.5","2.5","0.75","1"
"30434","Polyline","1220412486","BOULEVARD LAZARE CARNOT","3","50","50","2","2","2","B","6","Y","Y","Y","Y","Y","Y","Y","N","0.00012","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.01148","3","0","3","Prioritaire","3","0","3","3","0.864","0.81","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.614364","3","3","3","1","1000","2.5","2.5","0.75","1"
"32078","Polyline","1235508484","BOULEVARD LAZARE CARNOT","3","50","50","2","1","2","B","5","Y","Y","Y","Y","Y","Y","Y","N","0.000205","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.020137","3","0","3","Prioritaire","3","0","3","3","0.922","0.87","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.399683","3","3","3","1","1000","2.5","2.5","0.75","29"
"32079","Polyline","1235508485","BOULEVARD LAZARE CARNOT","3","50","50","2","1","2","B","5","Y","Y","Y","Y","Y","Y","Y","N","0.000114","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.010645","3","0","3","Feux","2","0","3","3","0.934","0.872","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.420627","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","1"
"34228","Polyline","1288972984","BOULEVARD LAZARE CARNOT","5","50","0","0","0","1","T","1","Y","Y","Y","Y","Y","Y","Y","N","0.000219","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.018938","1","0","3","Feux","2","0","3","3","0.772","0","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.97567","3","2.428571","2.428571","0.714286","300","2.5","2.5","0.75","11"
