"OBJECTID *","Shape *","LINK_ID","ST_NAME","FUNC_CLASS","TO_SPD_LIM","FR_SPD_LIM","FROM_LANES","TO_LANES","LANE_CAT","DIR_TRAVEL","PHYS_LANES","AR_AUTO","AR_BUS","AR_PEDEST","AR_TRUCKS","AR_TRAFF","AR_EMERVEH","AR_MOTOR","ROUNDABOUT","Shape_Length","NOM_ETUDE","DATE_ETUDE","TYPE_VEH","LEN_KM_GEO","Note_NbVoie","NB_PASSAGE_TP","Note_ArretTP","TYPE_CARR","Note_Carrefour","NB_OBSTACLE","Note_Obstacle","Note_Vitesse","CONG_RSI_T","CONG_RSI_F","Note_Congestion","IMPACT_CHANTIER","DEBUT_CHANTIER","FIN_CHANTIER","DUREE_CHANTIER","Note_Chantier","LIM_HAUT","LIM_POIDS","LIM_ChESSIEU","LIM_LONG","LIM_LARG","Note_Gabarit","ACCES_PJOUR","Note_Horaire","Sum places_int","Note_Stationnement","PENTE_MAX","Note_Pente","CIR_MOY","CIR_MOY_pond","CIR_MOY_norm","RATIO_HIE","ACC_MOY","ACC_MOY_pond","ACC_MOY_norm","POI_COUNT"
"28549","Polyline","1202380895","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","0","Y","Y","Y","Y","Y","Y","Y","N","0.000193","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.020782","2","0","3","Prioritaire","3","0","3","3","0.5856","0.92","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.607382","3","2.714286","2.714286","0.857143","1000","2.5","2.5","0.75","8"
"28550","Polyline","1202380896","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","3","Y","Y","Y","Y","Y","Y","Y","N","0.000255","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.027054","3","0","3","Prioritaire","3","1","2","3","1","0.99","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.703379","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","28"
"28551","Polyline","1202380897","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","0","Y","Y","Y","Y","Y","Y","Y","N","0.000215","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.022602","2","0","3","Prioritaire","3","1","2","3","0.936","0.962","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.068068","3","2.714286","2.714286","0.857143","1000","2.5","2.5","0.75","31"
"28655","Polyline","1202675827","GRANDE RUE SAINT-MICHEL","3","30","30","1","1","1","B","0","Y","Y","Y","Y","Y","Y","Y","N","0.000711","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.075388","2","0","3","Prioritaire","3","1","2","3","0.988","0.938","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.277508","3","2.714286","2.714286","0.857143","1000","2.5","2.5","0.75","35"
"28656","Polyline","1202675828","GRANDE RUE SAINT-MICHEL","3","30","30","1","1","1","B","0","Y","Y","Y","Y","Y","Y","Y","N","0.000313","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.0331","2","0","3","Prioritaire","3","0","3","3","0.98","0.894","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.174533","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","18"
"29756","Polyline","1213516237","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","3","Y","Y","Y","Y","Y","Y","Y","N","0.000269","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.028926","3","0","3","Feux","2","0","3","3","0.954","0.82","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.647526","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","12"
"29765","Polyline","1213517502","GRANDE RUE SAINT-MICHEL","3","50","50","1","1","1","B","3","Y","Y","Y","Y","Y","Y","Y","N","0.000345","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.037071","3","4","3","Prioritaire","3","0","3","3","0.966","0.9","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0","3","3","3","1","1000","2.5","2.5","0.75","8"
"29982","Polyline","1214080723","GRANDE RUE SAINT-MICHEL","3","50","50","1","2","2","B","5","Y","Y","Y","Y","Y","Y","Y","N","0.000435","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.046514","3","0","3","Prioritaire","3","0","3","3","0.6448","0.894","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","1.270668","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","1"
"29983","Polyline","1214080724","GRANDE RUE SAINT-MICHEL","3","50","50","1","2","2","B","4","Y","Y","Y","Y","Y","Y","Y","N","0.000405","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.043707","3","0","3","Prioritaire","3","0","3","3","0.73","0.918","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","1.944542","3","2.857143","2.857143","0.928571","1000","2.5","2.5","0.75","11"
"2723","Polyline","57985003","RUE DES FILATIERS","5","10","0","0","0","1","T","0","Y","Y","Y","Y","N","Y","Y","N","0.00032","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.035043","1","0","3","Prioritaire","3","0","3","1","1","0","3","critical","1/10/2023 12:16","7/11/2023 6:16","181","1","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.298452","3","2.142857","2.142857","0.571429","300","2.5","2.5","0.75","21"
"2817","Polyline","57985142","RUE DES FILATIERS","5","10","0","0","0","1","T","0","Y","Y","Y","Y","N","Y","Y","N","0.00091","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.099545","1","0","3","Prioritaire","3","0","3","1","0.7008","0","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","1.597112","3","2.285714","2.285714","0.642857","300","2.5","2.5","0.75","150"
"2844","Polyline","57985179","RUE DES FILATIERS","5","10","0","0","0","1","T","0","Y","Y","Y","Y","N","Y","Y","N","0.000304","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.033575","1","0","3","Prioritaire","3","0","3","1","0.7104","0","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","2.697187","3","2.285714","2.285714","0.642857","300","2.5","2.5","0.75","68"
"2902","Polyline","57985269","RUE DES FILATIERS","5","20","0","0","0","1","T","0","Y","Y","Y","Y","N","Y","Y","N","0.000481","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.052892","1","0","3","Prioritaire","3","0","3","1","0.4248","0","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","1.408574","3","2.285714","2.285714","0.642857","300","2.5","2.5","0.75","69"
